"year","fips","pop2020","pop2025","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
2025,48091,163659,212286,"Texas","TX",0.29712389786079596,"Comal County","Comal County","texas/comal-county",560,379.08214285714286,27
2025,48257,147140,211848,"Texas","TX",0.43977164605137964,"Kaufman County","Kaufman County","texas/kaufman-county",781,271.25224071702945,28
2025,48187,173697,199958,"Texas","TX",0.15118856399362102,"Guadalupe County","Guadalupe County","texas/guadalupe-county",711,281.2348804500703,29
2025,48367,149552,188606,"Texas","TX",0.2611399379480046,"Parker County","Parker County","texas/parker-county",904,208.6349557522124,30
2025,48329,170362,187286,"Texas","TX",0.09934140242542355,"Midland County","Midland County","texas/midland-county",900,208.09555555555556,31
2025,48135,165490,171368,"Texas","TX",0.035518762462988684,"Ector County","Ector County","texas/ector-county",898,190.83296213808464,32
2025,48181,136099,154325,"Texas","TX",0.13391722202220446,"Grayson County","Grayson County","texas/grayson-county",933,165.40728831725616,33
2025,48381,141347,152277,"Texas","TX",0.07732742824396688,"Randall County","Randall County","texas/randall-county",913,166.78751369112814,34
2025,48441,143454,150214,"Texas","TX",0.0471231196062849,"Taylor County","Taylor County","texas/taylor-county",916,163.9890829694323,35
2025,48397,109158,147237,"Texas","TX",0.34884296157862904,"Rockwall County","Rockwall County","texas/rockwall-county",127,1159.3464566929133,36
2025,48485,129620,130100,"Texas","TX",0.003703132232680151,"Wichita County","Wichita County","texas/wichita-county",628,207.1656050955414,37
2025,48183,124251,127611,"Texas","TX",0.027042035878986903,"Gregg County","Gregg County","texas/gregg-county",273,467.43956043956047,38
2025,48231,100254,123165,"Texas","TX",0.2285295349811478,"Hunt County","Hunt County","texas/hunt-county",840,146.625,39
2025,48291,92479,119892,"Texas","TX",0.29642405302825514,"Liberty County","Liberty County","texas/liberty-county",1158,103.53367875647669,40
2025,48021,98057,119544,"Texas","TX",0.21912765024424563,"Bastrop County","Bastrop County","texas/bastrop-county",888,134.6216216216216,41
2025,48451,120195,119345,"Texas","TX",-0.007071841590748362,"Tom Green County","Tom Green County","texas/tom-green-county",1522,78.41327201051249,42
2025,48375,118275,114119,"Texas","TX",-0.03513844853096593,"Potter County","Potter County","texas/potter-county",908,125.681718061674,43
2025,48469,91311,92844,"Texas","TX",0.01678877681768909,"Victoria County","Victoria County","texas/victoria-county",882,105.26530612244898,44
2025,48037,92923,91637,"Texas","TX",-0.013839415429979685,"Bowie County","Bowie County","texas/bowie-county",885,103.54463276836158,45
