District,County,Graduation rate 2023,,,,,,,,
HOOSICK FALLS ,RENSSELAER,83%,,,,,,,,
HORNELL ,STEUBEN,87%,,,,,,,,
HORSEHEADS ,CHEMUNG,88%,,,,,,,,
HUDSON ,COLUMBIA,77%,,,,,,,,
HUDSON FALLS ,WASHINGTON,81%,,,,,,,,
HUNTER-TANNERSVILLE ,GREENE,90%,,,,,,,,
HUNTINGTON ,SUFFOLK,91%,,,,,,,,
HYDE PARK ,DUTCHESS,84%,,,,,,,,
INDIAN RIVER ,JEFFERSON,94%,,,,,,,,
IROQUOIS ,ERIE,94%,,,,,,,,
IRVINGTON ,WESTCHESTER,90%,,,,,,,,
ISLAND TREES ,NASSAU,97%,,,,,,,,
ISLIP ,SUFFOLK,93%,,,,,,,,
ITHACA ,TOMPKINS,86%,,,,,,,,
JAMESTOWN ,CHAUTAUQUA,67%,,,,,,,,
JAMESVILLE-DEWITT ,ONONDAGA,93%,,,,,,,,
JASPER-TROUPSBURG ,STEUBEN,84%,,,,,,,,
JEFFERSON ,SCHOHARIE,100%,,,,,,,,
JERICHO ,NASSAU,97%,,,,,,,,
JOHNSBURG ,WARREN,67%,,,,,,,,
JOHNSON CITY ,BROOME,84%,,,,,,,,
JOHNSTOWN ,FULTON,93%,,,,,,,,
JORDAN-ELBRIDGE ,ONONDAGA,88%,,,,,,,,
KATONAH-LEWISBORO ,WESTCHESTER,94%,,,,,,,,
KEENE ,ESSEX,100%,,,,,,,,
KENDALL ,ORLEANS,92%,,,,,,,,
KENMORE-TONAWANDA ,ERIE,88%,,,,,,,,
KINDERHOOK ,COLUMBIA,98%,,,,,,,,
KINGS PARK ,SUFFOLK,99%,,,,,,,,
KINGSTON ,ULSTER,79%,,,,,,,,
LA FARGEVILLE ,JEFFERSON,79%,,,,,,,,
LACKAWANNA ,ERIE,76%,,,,,,,,
LAFAYETTE ,ONONDAGA,93%,,,,,,,,
LAKE GEORGE ,WARREN,96%,,,,,,,,
LAKE PLACID ,ESSEX,84%,,,,,,,,
LAKELAND ,WESTCHESTER,94%,,,,,,,,
LANCASTER ,ERIE,96%,,,,,,,,
LANSING ,TOMPKINS,90%,,,,,,,,
